epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,3336.4,0.43581,0.46846,1.00267,0.72052,0.72266,0.74754,0.63872,0.66214,1.03268,1.182,9.29284e-05,9.29284e-05,9.29284e-05
159,3357,0.43573,0.47629,1.00822,0.73276,0.71379,0.75025,0.64067,0.65819,1.03999,1.18625,9.08643e-05,9.08643e-05,9.08643e-05
160,3377.63,0.42513,0.45355,1.00706,0.73693,0.71514,0.74952,0.64287,0.66214,1.04092,1.18799,8.88001e-05,8.88001e-05,8.88001e-05
161,3398.15,0.44017,0.45743,1.00904,0.74126,0.70576,0.74671,0.64262,0.65921,1.01928,1.18906,8.6736e-05,8.6736e-05,8.6736e-05
162,3418.84,0.4316,0.44734,1.00981,0.73144,0.71301,0.74963,0.64057,0.66671,1.01236,1.19687,8.46718e-05,8.46718e-05,8.46718e-05
163,3439.42,0.43457,0.46769,1.00296,0.72074,0.72265,0.74742,0.64212,0.66334,1.00651,1.18587,8.26077e-05,8.26077e-05,8.26077e-05
164,3460.18,0.42276,0.46541,0.99436,0.73332,0.73626,0.75345,0.63936,0.65935,0.99584,1.18633,8.05436e-05,8.05436e-05,8.05436e-05
165,3480.76,0.42174,0.44314,0.99757,0.77181,0.70285,0.75036,0.64264,0.65344,0.99632,1.18151,7.84794e-05,7.84794e-05,7.84794e-05
166,3501.33,0.41653,0.45164,1.00134,0.73468,0.73252,0.75012,0.64313,0.66045,1.01125,1.18962,7.64153e-05,7.64153e-05,7.64153e-05
167,3522.72,0.43897,0.44932,1.00557,0.7722,0.70351,0.74727,0.63923,0.65867,1.01304,1.18796,7.43511e-05,7.43511e-05,7.43511e-05
168,3543.46,0.41287,0.44596,0.98702,0.76936,0.69938,0.75173,0.64251,0.66754,1.01138,1.19096,7.2287e-05,7.2287e-05,7.2287e-05
169,3564.19,0.41324,0.43478,0.99711,0.74027,0.72248,0.75418,0.64505,0.65545,0.98925,1.17593,7.02228e-05,7.02228e-05,7.02228e-05
170,3584.92,0.41771,0.43931,0.99341,0.73774,0.72037,0.74735,0.64482,0.65073,1.00169,1.17169,6.81587e-05,6.81587e-05,6.81587e-05
171,3605.49,0.4192,0.44782,0.99704,0.73466,0.71417,0.74529,0.64119,0.65033,1.00169,1.18007,6.60945e-05,6.60945e-05,6.60945e-05
172,3626.21,0.41879,0.45522,0.99519,0.73473,0.70944,0.74206,0.63813,0.64987,1.01938,1.17477,6.40304e-05,6.40304e-05,6.40304e-05
173,3647.06,0.41217,0.42655,0.98997,0.7576,0.70204,0.74732,0.64213,0.65038,1.01197,1.17698,6.19662e-05,6.19662e-05,6.19662e-05
174,3667.81,0.4148,0.43122,0.99904,0.75375,0.70972,0.751,0.64292,0.6529,1.03642,1.18182,5.99021e-05,5.99021e-05,5.99021e-05
